Event Name,Date,Venue,City,Country,Genre,Main Artist,Supporting Artists,Ticket Price,Event Type,Venue Capacity,Event Status,Event URL,Organizer
Beyoncé Festival,2024-11-27,Hollywood Bowl,Berlin,Japan,R&B,Beyoncé,BTS,$144 - $221,Festival,3154,Postponed,https://mockticketmaster.com/event/12248,Mock Promoter 2
Beyoncé Festival,2024-08-05,O2 Arena,Los Angeles,Australia,Electronic,Drake,,$189 - $444,Festival,54169,Scheduled,https://mockticketmaster.com/event/96440,Mock Promoter 2
BTS Festival,2024-08-15,Madison Square Garden,Berlin,Japan,Pop,BTS,"Beyoncé, The Weeknd, BTS",$175 - $426,Concert,40650,Cancelled,https://mockticketmaster.com/event/19589,Mock Promoter 7
Taylor Swift Concert,2025-01-15,Hollywood Bowl,Mumbai,Germany,Rock,Billie Eilish,,$43 - $402,Concert,68249,Postponed,https://mockticketmaster.com/event/90011,Mock Promoter 7
Ed Sheeran Festival,2024-11-21,Madison Square Garden,Tokyo,Germany,Hip Hop,Billie Eilish,"BTS, The Weeknd, Ed Sheeran",$43 - $283,Concert,60862,Rescheduled,https://mockticketmaster.com/event/70332,Mock Promoter 8
Adele Festival,2024-11-07,Madison Square Garden,Tokyo,Germany,Hip Hop,Beyoncé,Billie Eilish,$196 - $376,Festival,57007,Rescheduled,https://mockticketmaster.com/event/52845,Mock Promoter 8
Taylor Swift Concert,2025-01-05,Madison Square Garden,London,Japan,Rock,Drake,,$26 - $466,Concert,87932,Rescheduled,https://mockticketmaster.com/event/24241,Mock Promoter 8
Billie Eilish Festival,2024-12-31,Madison Square Garden,Paris,Japan,R&B,Ed Sheeran,"Drake, The Weeknd, Taylor Swift",$152 - $363,Festival,14448,Postponed,https://mockticketmaster.com/event/78883,Mock Promoter 9
Beyoncé Concert,2024-09-14,Hollywood Bowl,New York,UK,Jazz,Taylor Swift,"Beyoncé, Billie Eilish",$40 - $470,Concert,11685,Cancelled,https://mockticketmaster.com/event/90303,Mock Promoter 5
BTS Festival,2024-09-04,Madison Square Garden,Sydney,Japan,Hip Hop,Taylor Swift,"The Weeknd, Billie Eilish, BTS",$111 - $413,Festival,35577,Scheduled,https://mockticketmaster.com/event/79876,Mock Promoter 2
Taylor Swift Festival,2024-09-19,Royal Albert Hall,Berlin,UK,R&B,BTS,"Adele, Beyoncé",$156 - $342,Festival,66701,Rescheduled,https://mockticketmaster.com/event/31727,Mock Promoter 6
Beyoncé Concert,2024-09-16,Madison Square Garden,New York,Japan,Classical,Billie Eilish,,$93 - $498,Concert,34375,Cancelled,https://mockticketmaster.com/event/98368,Mock Promoter 3
Adele Festival,2024-08-13,Madison Square Garden,Sydney,India,Hip Hop,Drake,"Billie Eilish, BTS, Beyoncé",$176 - $202,Festival,12153,Postponed,https://mockticketmaster.com/event/76507,Mock Promoter 1
Taylor Swift Concert,2024-08-12,O2 Arena,Los Angeles,France,Pop,Drake,"The Weeknd, Ed Sheeran",$196 - $411,Festival,81925,Rescheduled,https://mockticketmaster.com/event/25695,Mock Promoter 9
Taylor Swift Festival,2024-09-20,Royal Albert Hall,Mumbai,USA,Electronic,The Weeknd,,$120 - $412,Festival,89866,Scheduled,https://mockticketmaster.com/event/21884,Mock Promoter 9
Adele Concert,2024-11-22,O2 Arena,Los Angeles,UK,R&B,BTS,"The Weeknd, Beyoncé, Billie Eilish",$70 - $204,Festival,35443,Postponed,https://mockticketmaster.com/event/75358,Mock Promoter 8
